,id,text,created_at,bayonetta,retweet_count,reply_count,like_count,quote_count,polarity
526,1601477276956209152,Personal favourite announcements at   Hades II2  Bayonetta Origins3  Hellboy  Web of Wryd4  Earthblade5  Judas6  After Us7  Dead Cells x Castlevania DLC8  Star Wars  Jedi Survivor9  Baldur s Gate III Release Date10  Final Fantasy XVI Release Date,2022-12-10T07:21:51.000Z,1.0,0,1,1,0,-0.06666666666666667
904,1601437551549509632,Bayonetta Wins Best Action Game,2022-12-10T04:44:00.000Z,1.0,0,0,0,0,0.25
1035,1601425237488570368,Congratulation to Bayonetta for Best Action Game,2022-12-10T03:55:04.000Z,1.0,9,1,26,0,0.23333333333333336
1339,1601393813339402241,Helena Taylor after finding out that Bayonetta won Best Action Game ,2022-12-10T01:50:12.000Z,1.0,0,0,1,0,0.23333333333333336
1424,1601387433991733248,Bayo Prequel   Sir Ant Reacts   Bayonetta Origins Cereza and the Lost De    via,2022-12-10T01:24:51.000Z,1.0,1,0,0,0,0.0
1434,1601386278481973248,Bayonetta Origins  Cereza and the Lost Demon Reaction    The Game Awards,2022-12-10T01:20:15.000Z,1.0,0,0,0,0,-0.4
1493,1601384065575575552,A new Bayonetta game coming out March th    ,2022-12-10T01:11:28.000Z,1.0,0,0,0,0,-0.13181818181818183
2011,1601360837289316352,Nintendo had a bigger presence at than I thought they would A Xenoblade Chronicles Music Performance  The Super Mario Bros  Movie Trailer   The announcement of Bayonetta Origins  Cereza and the Lost Demon  Nintendo won AWARDS ,2022-12-09T23:39:10.000Z,1.0,1,1,37,0,0.16666666666666666
2761,1601324561299308544,VERY different from other Bayonetta games  It makes sense  can t wait for this different take and origin story    ,2022-12-09T21:15:01.000Z,1.0,0,0,1,0,-0.041666666666666664
2828,1601322041017147392,New Video In Channel on YouTube   Bayonetta Origins  Cereza and the Lost Demon   The Game Awards ReactionLink ,2022-12-09T21:05:00.000Z,1.0,0,0,2,0,-0.13181818181818183
3094,1601311280312172546,Two cents  why even give importance to the winners  Ofc the most critically acclaimed titles won  at the end of the day Positively surprising that Bayonetta won for Best Action  a category where CoD was nominated  You know  a FPS  and Kirby won for Best Family ,2022-12-09T20:22:14.000Z,1.0,0,1,0,0,0.55
3609,1601294349773705216,ICYMI  Here s a little of what you missed from last night s    Crash Team Rumble Announcement  Hades II Reveal  Bayonetta Origins  Cereza and the Lost Demon Announcement  Star Wars Jedi  Survivor Reveal  Death Stranding Teaser  Diable IV Announcement more ,2022-12-09T19:14:58.000Z,1.0,1,0,5,0,0.10416666666666667
3948,1601284130787889153,Congratulation to for winning Best Action game for Bayonetta   Well deserved    Can t wait to see Cerezas future adventures ,2022-12-09T18:34:21.000Z,1.0,0,0,0,0,0.24000000000000005
4016,1601282748550828032,won which means the true fandom won  the one who supporter our true one and only bayonetta and we hope you come back for the fourth game  f ck you,2022-12-09T18:28:52.000Z,1.0,0,0,2,0,0.04999999999999999
4139,1601279961825914880,My game highlights of last night  in no particular order    Atomic Heart  Judas  Bayonetta Origins  Cereza  Hades II  Jedi  Survivor  Diablo IV  Final Fantasy XVI   Death Stranding,2022-12-09T18:17:47.000Z,1.0,0,0,0,0,-0.12083333333333333
4354,1601275496741978112,It was a big night for PlatinumGames premier witchy franchise  Bayonetta Origins  Cereza and the Lost Demon was announced at   and Bayonetta walked away with the Best Action Game award ,2022-12-09T18:00:03.000Z,2.0,3,0,17,0,0.17500000000000002
4580,1601271205771689986,The Game Awards   Bayonetta Prequel Game Coming March  ,2022-12-09T17:43:00.000Z,1.0,1,0,0,0,-0.4
4649,1601269380851322880,Honestly Christopher Judge s minute speech for ONE award and the KID who snuck on stage to shoutout homeboy Bill Clinton made this the best yet Coupled with Bayonetta winning best action game AND an artistic spinoff reveal in Bayonetta Origins   10,2022-12-09T17:35:45.000Z,2.0,2,2,40,0,0.4476190476190477
4705,1601267880150339584,I ended up watching   Disappointed not to see more but the show was fun overall  Animal was awesome  Bayonetta Origins looks pretty,2022-12-09T17:29:47.000Z,1.0,0,0,1,0,0.21666666666666667
4715,1601267639078498305,My highlights for the  Bayonetta origins Dead Cells return to Castlevania Judas Viewfinder After Us Street fighter  Tekken  Diablo performance from Halsey  Lilith  Valiant hearts,2022-12-09T17:28:49.000Z,1.0,0,0,2,0,-0.2
4867,1601263381435990016,I have a handful of reaction videos taken from yesterday s stream  They cover Final Fantasy  Bayonetta Origins  Cereza and the Lost Demon  Dead Cells Return to Castlevania  Crash Team Rumble  Among Us  and The Super Mario Bros  Movie  Links are in the reply ,2022-12-09T17:11:54.000Z,1.0,1,1,1,0,0.04444444444444443
4969,1601260707147702273,Bayonetta DLC Bayonetta origins Cereza and the lost demon  More in the link ,2022-12-09T17:01:17.000Z,2.0,0,0,1,0,0.5
5470,1601249623389007873,So far my favourite trailers from were 1  Final Fantasy XVI  who are we kidding here 2  Hades   Star Wars  Jedi Survivor4  Death Stranding   Judas6  Bayonetta Origins7  Replaced8  Banishers  Ghosts of New Eden8  Viewfinder9  Hellboy,2022-12-09T16:17:14.000Z,1.0,0,1,2,0,0.07878787878787878
5514,1601248595587772417,Deserved Win  Christopher Judge   Best PerformanceLeast Deserved Win  Bayonetta   Best Action GameBest Reveal  Hades IIWorst Reveal  Fire Emblem Engage DLCBiggest Snub  Neon White   Best Action GameBest Moment  Pedro Eustace performing the GOTY medley,2022-12-09T16:13:09.000Z,1.0,0,0,0,0,0.6
5814,1601240763509063680,I don t think we can question Nintendo s commitment to the anymore  While they didn t show   they dropped a Mario Movie teaser  announced Fire Emblem Engage DLC  and a Bayonetta prequel  They showed up HUGE  And they also walked away with w s,2022-12-09T15:42:02.000Z,1.0,12,7,107,0,0.4000000000000001
6044,1601235385581178881,Bayonetta won the award for best action game  I m crying,2022-12-09T15:20:40.000Z,1.0,2,2,41,0,0.125
6482,1601227173331079174,The Game Awards   Bayonetta Origins  Cereza and the Lost Demon anunciado para    ,2022-12-09T14:48:02.000Z,1.0,0,0,1,0,-0.4
7307,1601212816744386562,  Armored Core VI  Final Fantasy XVI  Judas   Death Stranding   Jedi  Survivor   Diablo   Suicide Squad   Earthblade  Bayonetta Origins  Tekken   Horizon Burning Shores  Mario Movie   Street Fighter Best announcements has had in years,2022-12-09T13:50:59.000Z,1.0,0,0,2,0,0.5
7595,1601206966457860096,Meu TOP jogos mostrados na The Game Awards   Dead Cells   Castlevania  Bayonetta  Cereza and the Lost Demon  Blue Protocol  Armored Core VI,2022-12-09T13:27:44.000Z,1.0,0,11,77,0,-0.02500000000000001
7732,1601204014875430912,Meine Higlights der waren Judas  Bayonetta Origins  Cereza and the Lost Demon  Banishers  Ghost of New Eden und After Us,2022-12-09T13:16:00.000Z,1.0,0,0,1,0,0.13636363636363635
8212,1601193716806348800,I m very pleased Bayonetta won best action game at TGA  Bayonetta is what old publications would call   a tour de force  I wouldn t have been mad at Sifu winning either  People need to play that    Also excited to see this new game ,2022-12-09T12:35:05.000Z,2.0,0,0,0,0,0.14363636363636365
8261,1601192401246162944,Holy hell some cool announcements from   Bayonetta Prequel  Hades   Death Stranding  And my hope for the Mario Movie is ever increasing,2022-12-09T12:29:51.000Z,1.0,0,0,1,0,0.35
8389,1601189856377393153,What were some revealed games that hyped you up at last night  Some of Mine were  After UsReplacedHades Bayonetta  Origins EarthbladeHellboy  Web of WyrdCrime Boss  Rockay City  GTA  VICE CITY    Wayfinder,2022-12-09T12:19:45.000Z,1.0,0,0,2,0,0.0
8623,1601184893966360576,Nintendo Wins at Best Family   Kirby and the Forgotten Land Best Multiplayer   Splatoon Best Action   Bayonetta Best Sim Strategy   Mario   Rabbids Sparks of Hope Most Anticipated   Zelda  Tears of the Kingdom,2022-12-09T12:00:01.000Z,1.0,15,3,77,0,0.7000000000000001
8886,1601179367828295683,Splatoon Best MultiplayerKirby and the Forgotten Land Best FamilyBayonetta Best Action GameThe Legend of Zelda  Tears of the Kingdom Most Anticipated GameThank you    and to everyone for all the amazing support ,2022-12-09T11:38:04.000Z,1.0,0,0,0,0,0.7000000000000001
9299,1601169810464935938,Bayonetta Origins  Cereza and the Lost Demon was announced at   with a March   release date ,2022-12-09T11:00:05.000Z,1.0,10,1,55,0,0.0
9304,1601169797919670273,Splatoon Best MultiplayerKirby and the Forgotten Land Best FamilyBayonetta Best Action GameThe Legend of Zelda  Tears of the Kingdom Most Anticipated GameThank you    and to everyone for all the amazing support ,2022-12-09T11:00:02.000Z,1.0,2,0,8,0,0.7000000000000001
9307,1601169797051473920,Splatoon Best MultiplayerKirby and the Forgotten Land Best FamilyBayonetta Best Action GameThe Legend of Zelda  Tears of the Kingdom Most Anticipated GameThank you    and to everyone for all the amazing support ,2022-12-09T11:00:02.000Z,1.0,238,21,2133,18,0.7000000000000001
9308,1601169796220985346,Splatoon Best MultiplayerKirby and the Forgotten Land Best FamilyBayonetta Best Action GameThe Legend of Zelda  Tears of the Kingdom Most Anticipated GameThank you    and to everyone for all the amazing support ,2022-12-09T11:00:02.000Z,1.0,466,36,4003,38,0.7000000000000001
9637,1601162279088627713,Bayonetta Origins  Cereza and the Lost Demon announced for Nintendo Switch at   physical release confirmed,2022-12-09T10:30:10.000Z,1.0,1,0,3,0,0.2
9811,1601158855081086976,Bayonetta has become popular enough  they are making a spin off game for it  I m glad the series is receiving so much love This is personal the most humble surprise I got out of this year s TGA ,2022-12-09T10:16:33.000Z,1.0,0,0,0,0,0.1875
9861,1601157497200730112,Xenoblade didn t win anything at   not shocked at all  Popular games win and relatively niche games lose  who would ve thought Some cool announcements  Armored Core VI  Castlevania Dead Cells  Bayonetta Origins  Hades Okay show as usual,2022-12-09T10:11:10.000Z,1.0,0,0,0,0,0.3277777777777777
10045,1601153657453834240,Elden RingGame of the YearGame DirectionArt DirectionRPGGod of War RagnarkAudioAction AdventureNarrativePerformanceScore MusicBayonetta Action GameSplatoon MultiplayerSTRAYIndependentDebut Indie1 ,2022-12-09T09:55:54.000Z,1.0,0,1,4,0,0.1
10149,1601151713037389824,Bayonetta Origins is a prequel with some strong fairytale vibes  coming to Switch March next year,2022-12-09T09:48:11.000Z,1.0,0,0,0,0,0.21666666666666665
10192,1601151205618896896,I DIDNT THINK A NEW BAYONETTA GAME WOUND GET ANNOUNCED TF    I JUST WANTED TO SLEEP AND WATCH IT THE NEXT DAY,2022-12-09T09:46:10.000Z,1.0,0,0,1,0,-0.08787878787878789
10580,1601143371111829504,Bayonetta Origins Announced Exclusively For Switch  Coming March,2022-12-09T09:15:02.000Z,1.0,12,0,85,1,0.0
10787,1601139696582594561,OMG   Hades   Bayonetta Origins  Blue Protocol  Earthblade and even more games shown in the Game Awards   LETS GOOO,2022-12-09T09:00:26.000Z,1.0,0,0,2,0,0.033333333333333326
11054,1601134889469759488,Also Bayonetta getting action game of the year makes sense  for all its flaws  you can t say the action was one of them ,2022-12-09T08:41:19.000Z,1.0,0,0,0,0,-0.06666666666666668
11140,1601133505945030657,The Game Awards Nintendo Switch Hit Bayonetta Beats a Billion DollarAction Packed Call of Duty Blockbuster From Activision via,2022-12-09T08:35:50.000Z,1.0,0,0,0,0,-0.4
11175,1601132767110057984,And Bayonetta won best action game of this is a victory for me and the true bayonetta fandom  even when it s the worst of the trilogy I m glad it won  but i hope we can have the real bayonetta for the next game,2022-12-09T08:32:53.000Z,3.0,0,0,0,0,0.03888888888888889
11717,1601120718128910338,Bayonetta Origins  Cereza and The Lost Demon Announced,2022-12-09T07:45:01.000Z,1.0,0,0,0,0,0.0
11891,1601117116274397189,I took a few screenshots from the Game Awards show  I am sooo glad Zelda  Kirby  amp  Bayonetta won an award  they deserve it  ,2022-12-09T07:30:42.000Z,1.0,0,2,4,0,-0.03333333333333336
12282,1601109851706310656,Bumping this up again since Bayonetta is trending   Congrats on winning best action game woooo  ,2022-12-09T07:01:50.000Z,1.0,2,0,10,0,0.30000000000000004
12512,1601106576084910080,Everything shown that I m All In on     Armored Core VI  Bayonetta Origins  Blue Protocol   Death Stranding   Final Fantasy XVI  Street Fighter VI  Star Wars Jedi Survivor  Suicide Squad Kill the Justice League  Tekken,2022-12-09T06:48:49.000Z,1.0,0,0,2,0,0.0
12732,1601103850404204544,Bayonetta Origins  Cereza and the Lost Demon  Switch  The Game Awards    ,2022-12-09T06:37:59.000Z,1.0,4,0,3,0,-0.4
12777,1601103352544514048,Bayonetta Origins  Cereza and the Lost Demon  Switch  The Game Awards    ,2022-12-09T06:36:00.000Z,1.0,0,0,0,0,-0.4
12780,1601103333741449217,Bayonetta Origins  Cereza and the Lost Demon  Switch  The Game Awards    ,2022-12-09T06:35:56.000Z,1.0,1,0,1,0,-0.4
12990,1601101095346245633,Bayonetta origin story to be told ,2022-12-09T06:27:02.000Z,1.0,1,0,0,0,0.0
13053,1601100045117403137,Bayonetta won Best Action Game at  ,2022-12-09T06:22:52.000Z,1.0,0,0,0,0,0.23333333333333336
13093,1601099543625740288,Im gonna congratulate for Splatoon   Bayonetta and Kirby and the Forgotten Land are the winners and sadly Xenobalde Chronicles and Pokmon Legend Arceus are lost to,2022-12-09T06:20:52.000Z,1.0,0,1,0,0,-0.5
13435,1601096144888950785,Gran Turismo   Best Sports Racing GameBayonetta   Best Action GameVALORANT   Best EsportsGenshin Impact   Player s Voice,2022-12-09T06:07:22.000Z,1.0,0,0,0,0,0.775
13718,1601093330578075649,Bayonetta Origins  Cereza and the Lost Demon Announced Details ,2022-12-09T05:56:11.000Z,1.0,0,0,2,0,0.0
13980,1601090702989230080,Bayonetta Origins  Cereza and The Lost Demon  amp  Star Wars Jedi Survivor release on the same day ,2022-12-09T05:45:45.000Z,1.0,1,1,5,0,0.0
14264,1601087608418770944,Splatoon  Mario   Rabbid  Bayonetta   and Kirby did all win tho,2022-12-09T05:33:27.000Z,1.0,2,0,3,0,0.8
14964,1601082107371016192,Man  why do Bayonetta Origins and Star Wars  Jedi Survivor have to be released on the same day  St  Pattys Day  no less,2022-12-09T05:11:35.000Z,1.0,0,0,0,0,0.041666666666666664
15023,1601081711307395073,Super excited about Hades II   slayed on the first one   Havent played any of the Bayonettas but excited for the origin game which looks fun  and cannot WAIT to backseat Armored Core VI ,2022-12-09T05:10:01.000Z,1.0,0,0,1,0,0.20555555555555552
15221,1601080531474534400,Nintendo killed with Bayonetta   Kirby FL  Mario   Rabbits  and Splatoon winning awards  Shout out to Xenoblade for best JRPG and GoTY nods  God of War took home a ton of awards  Can t wait to play it  And I told y all since March  Elden Ring wins GoTY  ,2022-12-09T05:05:19.000Z,1.0,0,0,1,0,0.4
15468,1601079192661086208,Slayyy  wins Best Action Game at this years   Not long now until the next entry in the Bayonetta series makes its debut with   Cereza and the Lost Demon ,2022-12-09T05:00:00.000Z,1.0,46,13,417,31,0.1708333333333333
15501,1601079023710240769,The silence for Bayonetta Origins was deafening,2022-12-09T04:59:20.000Z,1.0,0,0,0,0,0.0
