,id,text,created_at,elden ring,retweet_count,reply_count,like_count,quote_count,polarity
182,1601518420444708864,THE GAME AWARDS   Elden Ring  2022  dev    FromSoftware Inc I can t express my appreciation for this game  Thank you for making yet another great and a masterpiece ,2022-12-10T10:05:20.000Z,1.0,0,0,0,0,0.0
293,1601505099435544577,We should make Matan Evenoff the bill clinton Elden ring kid the Game Awards host ,2022-12-10T09:12:24.000Z,1.0,0,0,0,0,-0.4
351,1601498641902219264,Elden Ring wins Game of the Year,2022-12-10T08:46:45.000Z,1.0,0,0,0,0,-0.05000000000000002
520,1601478422056022016,A kid showed up on stage  _ after Elden Ring s Game of the Year speech to talk about Bill Clinton,2022-12-10T07:26:24.000Z,1.0,5,0,5,3,-0.4
592,1601468138356617216,So elden ring won GAme of the year was expecting GOW Ragnarok,2022-12-10T06:45:32.000Z,1.0,0,0,0,0,-0.4
683,1601456785495310336,Game of the Year of goes to Elden Ring,2022-12-10T06:00:25.000Z,1.0,0,0,0,0,-0.4
717,1601452100848087040,God of War  Ragarnok won  6x  but robbed in GOTY by elden ring,2022-12-10T05:41:49.000Z,1.0,0,0,0,0,0.0
816,1601443553158496258,Elden Ring DLC via,2022-12-10T05:07:51.000Z,1.0,0,0,0,0,0.0
820,1601443435592167424,Elden Ring  GOTY,2022-12-10T05:07:23.000Z,1.0,0,0,0,0,0.0
833,1601442991859978240,My favorite part about stage crasher is that someone probably had to explain to a confused Bill Clinton what The Game Awards and Elden Ring are ,2022-12-10T05:05:37.000Z,1.0,0,0,0,0,-0.10000000000000002
847,1601442356070604800,Man l feel bad for XC3 fans  it never really had a chance of taking GOTY from Elden Ring  but at least it could ve won Best Score  amp  Music    and then GoW Ragnarok came in virtually last minute and said  Nah we ll be taking that one from you  ,2022-12-10T05:03:05.000Z,1.0,0,0,1,0,-0.019999999999999973
899,1601438055004401665,Elden Ring Wins Best Role Playing Game,2022-12-10T04:46:00.000Z,1.0,0,0,0,0,0.3
936,1601433607360217088,Elden Ring Wins Best Art Direction,2022-12-10T04:28:19.000Z,1.0,0,0,0,0,0.65
940,1601433062881243136,Elden Ring Wins Best Game Direction,2022-12-10T04:26:10.000Z,1.0,0,0,0,0,0.3
947,1601432285731225600,Congrats to Elden Ring and FromSoftware on winning Game of the Year     ,2022-12-10T04:23:04.000Z,1.0,0,0,0,0,0.04999999999999999
962,1601431201965035520,Elden Ring Wins Game of the Year,2022-12-10T04:18:46.000Z,1.0,0,0,0,0,-0.05000000000000002
1060,1601421513940697088,ELDEN RING FOR THE WIN       GAME AWARDS REACTION,2022-12-10T03:40:16.000Z,1.0,0,0,1,0,0.2
1077,1601419415391678464,Didnt know this moment was captured too I received the highest of Fives with Hidetaka Miyazaki san  amp  his Elden Ring devs team who won the Game of the Year at  Maybe now Ive received the power to finally overcome Elden Ring the game itself  Stay tuned ,2022-12-10T03:31:56.000Z,2.0,1,5,25,0,-0.26666666666666666
1225,1601405133874569216,But it doesnt need to  its an experience everyone should have and hopefully its ported to PC soon  Elden Ring is an experience everyone should have also  but its missing something what I wanted  which is the thrill of a fight  Well these are my thoughts on,2022-12-10T02:35:11.000Z,1.0,0,0,0,0,-0.2
1249,1601402294922186753,I dont love or even like Elden Ring that much but out of all the nominations I do think best art direction is one it really does deserve ,2022-12-10T02:23:54.000Z,1.0,0,0,1,0,0.475
1271,1601400024822616064,Woah  looks like he made it  Bill Clinton in ELDEN RING ,2022-12-10T02:14:53.000Z,1.0,0,0,0,0,0.0
1325,1601394681941630976,Game of the Year   Elden Ring,2022-12-10T01:53:39.000Z,1.0,1,0,2,0,-0.4
1334,1601394007904747521,Elden ring aint seeing shit tonight man,2022-12-10T01:50:58.000Z,1.0,0,0,0,1,-0.2
1343,1601393395343429633,About last night  They got it wrong  I have both games and I like ER but theres only one thats deserving  Now I want to activate Spartan Rageand see destroy The Lands Between  The demigods in Elden Ring dont stand a chance or anyone else,2022-12-10T01:48:32.000Z,1.0,0,0,0,0,-0.020000000000000007
1407,1601388555917402112,in a nutshell awards go to god of war and elden ring because literally no other video games exist ffxiv is a pretty good mmomuppet cringemas carolpotential school shooter nominates rabbi clinton,2022-12-10T01:29:18.000Z,1.0,0,1,0,0,0.33749999999999997
1433,1601386312447447046,Elden Ring wins Game of the Year at,2022-12-10T01:20:23.000Z,1.0,0,0,0,0,-0.05000000000000002
1437,1601386137154568192,I wonder how Japan took the whole bill Clinton nomination after the elden ring speech,2022-12-10T01:19:42.000Z,1.0,0,0,0,0,0.2
1449,1601385189099597824,Congratulations to FromSoftware and Elden Ring on winning Game of the Year at  Stock alert group  click to join    ,2022-12-10T01:15:56.000Z,1.0,0,0,0,0,0.04999999999999999
1454,1601385183332032512,Elden Ring wins Best Roleplaying Game at   Congrats FromSoftware Stocks  Cryptocurrencies  Discussion Groups    ,2022-12-10T01:15:54.000Z,1.0,0,0,0,0,0.3
