,id,text,created_at,final fantasy,retweet_count,reply_count,like_count,quote_count,polarity
49,1601537629526560769,The true revolution of Final Fantasy XVI is that a JRPG protagonist is allowed to have a beard ,2022-12-10T11:21:40.000Z,1.0,0,0,0,0,0.175
144,1601523188554399745,Final Fantasy release date and new trailer close out The Game Awards,2022-12-10T10:24:17.000Z,1.0,0,0,0,0,-0.08787878787878789
177,1601519339961712644,Final Fantasy release date and new trailer close out The Game Awards,2022-12-10T10:09:00.000Z,1.0,0,0,0,0,-0.08787878787878789
526,1601477276956209152,Personal favourite announcements at   Hades II2  Bayonetta Origins3  Hellboy  Web of Wryd4  Earthblade5  Judas6  After Us7  Dead Cells x Castlevania DLC8  Star Wars  Jedi Survivor9  Baldur s Gate III Release Date10  Final Fantasy XVI Release Date,2022-12-10T07:21:51.000Z,1.0,0,1,1,0,-0.06666666666666667
861,1601441666820440064,  THE GAME AWARDS   Official K Livestream  Star Wars  FINAL FANTASY XVI  Hades II  Halsey,2022-12-10T05:00:21.000Z,1.0,0,1,0,0,-0.2
911,1601436796642070529,Final Fantasy XIV Wins Best Community Support,2022-12-10T04:41:00.000Z,1.0,0,0,0,0,0.43333333333333335
923,1601435538266939393,Final Fantasy XIV Wins Best Ongoing Game,2022-12-10T04:36:00.000Z,1.0,0,0,0,0,0.225
967,1601430528238182401,June nd  for Final Fantasy XVI       ,2022-12-10T04:16:05.000Z,1.0,0,0,0,0,0.0
1204,1601407073748910081,Final Fantasy XVI Revenge Trailer Reaction    The Game Awards,2022-12-10T02:42:53.000Z,1.0,0,0,0,0,-0.2
1220,1601405726869446656,Lots of cool trailers at    Judas  Suicide Squad  Kill the Justice League  Star Wars Jedi  Survivor  Death Stranding   Baldurs Gate   The Lords of the Fallen  Armored Core VI  Final Fantasy XVICant wait for DS2  It will probably be my game of the year ,2022-12-10T02:37:32.000Z,1.0,0,0,0,0,-0.01666666666666668
1266,1601400478755360770,Next year for game s have to go up towards Legend of Zelda and Final Fantasy two heavy hitters that s gonna be interesting next year ,2022-12-10T02:16:41.000Z,1.0,0,0,0,0,-0.01666666666666668
1373,1601390911904223232,Final Fantasy XVI voice actors revealed  More in the link ,2022-12-10T01:38:40.000Z,1.0,0,0,0,0,0.25
1911,1601366188126355457,  THE GAME AWARDS   Official K Livestream  Star Wars  FINAL FANTASY XVI  Hades II  Halsey,2022-12-10T00:00:25.000Z,1.0,0,1,0,0,-0.2
2018,1601360246852968449,People are really pissd off that FINAL FANTASY won over Fortnite lol people say who plays that game or what is that gamethis is my response to that,2022-12-09T23:36:49.000Z,1.0,0,1,7,0,0.15
2133,1601354515617583107,My top most anticipated games shown at   Death Stranding   Judas  Armored Core  Final Fantasy XVI  ReplacedWhat are yours  ,2022-12-09T23:14:02.000Z,1.0,0,0,1,0,0.3333333333333333
2358,1601341568085999617,ALERT  Final Fantasy XVI  PS5  Standard Edition is AGAIN up for preorder via for ONLY  69 99    VIN  ,2022-12-09T22:22:35.000Z,1.0,0,0,1,0,0.0
2651,1601329170746859521,From first looks at Death Stranding and Armored Core VI  Fires of Rubicon to release date announcements for Final Fantasy XVI and Street Fighter   did not disappoint  Here s everything that they showed during this year s awards show ,2022-12-09T21:33:20.000Z,1.0,30,4,222,1,0.125
2809,1601322802791223296,Final Fantasy XVI is taking up   of my brain space ,2022-12-09T21:08:01.000Z,1.0,0,0,0,0,0.0
2898,1601319317882417152,Heres everything shown at that Im looking forward to Atomic HeartJudasStar Wars Jedi  SurvivorDeath Stranding Horizon DLCCyberpunk DLCFinal Fantasy Lots of great reveals  but cluttered between lots of filler  still a lot better than last year though ,2022-12-09T20:54:11.000Z,1.0,0,0,0,0,0.43333333333333335
