,id,text,created_at,god of war,retweet_count,reply_count,like_count,quote_count,polarity
717,1601452100848087040,God of War  Ragarnok won  6x  but robbed in GOTY by elden ring,2022-12-10T05:41:49.000Z,1.0,0,0,0,0,0.0
761,1601447241205444608,God of War Ragnarok y sus premios en The game awards No,2022-12-10T05:22:30.000Z,1.0,0,0,0,0,-0.4
793,1601444347979116544,How could anyone argue that god of war should have won goty  its a trash movie game with no real direction ,2022-12-10T05:11:00.000Z,1.0,0,0,0,0,-0.25
902,1601437803329437696,God of War Ragnark Wins Best Action Adventure Game,2022-12-10T04:45:00.000Z,1.0,0,0,0,0,0.25
935,1601433762457300992,God of War Ragnark Wins Best Score and Music,2022-12-10T04:28:56.000Z,1.0,0,0,0,0,0.65
1216,1601405849796169728,About get the Game of the Year award and the God of War Fanboys reacting badly over it ,2022-12-10T02:38:01.000Z,1.0,0,0,1,0,-0.5499999999999999
1407,1601388555917402112,in a nutshell awards go to god of war and elden ring because literally no other video games exist ffxiv is a pretty good mmomuppet cringemas carolpotential school shooter nominates rabbi clinton,2022-12-10T01:29:18.000Z,1.0,0,1,0,0,0.33749999999999997
1447,1601385210158886913,God of War Ragnark s powerful soundtrack wins Best Score at   Congrats and  Sniping stocks  click to enter    ,2022-12-10T01:16:01.000Z,1.0,0,0,0,0,0.5333333333333333
1448,1601385191616172032,Best Performance at goes to the formidable and his grounded  moving portrayal of Kratos in God of War Ragnark  Congrats Chris Stocks  Gold  Energy  Trading Discussion Groups    ,2022-12-10T01:15:56.000Z,1.0,0,0,0,0,1.0
1450,1601385185844817921,God of War Ragnark brought the action at   winning Best Action Adventure game Stocks  Options  Futures  Discussion Groups    ,2022-12-10T01:15:55.000Z,1.0,0,0,0,0,0.26000000000000006
1453,1601385184095395840,God of War Ragnark s unforgettable story wins Best Narrative at   CongratsStocks  Cryptocurrencies  Discussion Groups    ,2022-12-10T01:15:54.000Z,1.0,0,0,0,0,0.7000000000000001
1468,1601384750404448256,Best Performance at goes to the formidable and his grounded  moving portrayal of Kratos in God of War Ragnark  Congrats Chris Insider trading discussion group  click to join    ,2022-12-10T01:14:11.000Z,1.0,0,0,0,0,1.0
1469,1601384749607817218,God of War Ragnark brought the action at   winning Best Action Adventure game Stocks  Options  Futures  Discussion Groups    ,2022-12-10T01:14:11.000Z,1.0,0,0,0,0,0.26000000000000006
1484,1601384248685973504,God of War Ragnark s unforgettable story wins Best Narrative at   CongratsStock Intelligence Discussion Group  click jiaru    ,2022-12-10T01:12:11.000Z,1.0,0,0,0,0,0.7000000000000001
1485,1601384248048758787,God of War Ragnark s powerful soundtrack wins Best Score at   Congrats and  Stocks  Options  Futures  Discussion Groups    ,2022-12-10T01:12:11.000Z,1.0,0,0,0,0,0.5333333333333333
1486,1601384246127759360,God of War Ragnark brought the action at   winning Best Action Adventure game Stock alert group  click to join    ,2022-12-10T01:12:11.000Z,1.0,0,0,0,0,0.26000000000000006
1490,1601384241245609988,Best Performance at goes to the formidable and his grounded  moving portrayal of Kratos in God of War Ragnark  Congrats Chris Stock alert group  click to join    ,2022-12-10T01:12:10.000Z,1.0,0,0,0,0,1.0
1519,1601381344663068673,God of War Ragnark s unforgettable story wins Best Narrative at   CongratsStock insider trading discussion group  click to join    ,2022-12-10T01:00:39.000Z,1.0,0,0,0,0,0.7000000000000001
1527,1601381315714379778,God of War Ragnark s powerful soundtrack wins Best Score at   Congrats and  Insider trading discussion group  click to join    ,2022-12-10T01:00:32.000Z,1.0,0,0,0,0,0.5333333333333333
1528,1601381314141118464,Best Performance at goes to the formidable and his grounded  moving portrayal of Kratos in God of War Ragnark  Congrats Chris Stock Alerts Discussion Group    ,2022-12-10T01:00:32.000Z,1.0,0,0,0,0,1.0
1529,1601381312991928320,God of War Ragnark brought the action at   winning Best Action Adventure game Stock selection discussion group  click to join    ,2022-12-10T01:00:31.000Z,1.0,0,0,0,0,0.26000000000000006
1540,1601380912054222849,God of War Ragnark brought the action at   winning Best Action Adventure game Stocks Free Alerts Discussion Group  Click to Join    ,2022-12-10T00:58:56.000Z,1.0,0,0,0,0,0.2833333333333334
1542,1601380911307665408,God of War Ragnark s unforgettable story wins Best Narrative at   CongratsStock selection discussion group  click to join    ,2022-12-10T00:58:56.000Z,1.0,0,0,0,0,0.7000000000000001
1543,1601380907075919873,God of War Ragnark s powerful soundtrack wins Best Score at   Congrats and  Stock Alerts Discussion Group  Free to Join    ,2022-12-10T00:58:55.000Z,1.0,0,0,0,0,0.5
1547,1601380880936992768,Best Performance at goes to the formidable and his grounded  moving portrayal of Kratos in God of War Ragnark  Congrats Chris Stock Alerts Discussion Group  Free to Join    ,2022-12-10T00:58:48.000Z,1.0,0,0,0,0,0.7
1556,1601380616012193792,Best Performance at goes to the formidable and his grounded  moving portrayal of Kratos in God of War Ragnark  Congrats Chris Stock Alerts Discussion Group    ,2022-12-10T00:57:45.000Z,1.0,0,0,0,0,1.0
