,id,text,created_at,horizon forbidden west,retweet_count,reply_count,like_count,quote_count,polarity
97,1601532174997409792,The new expansion story to Horizon Forbidden West  called Burning Shores  has been announced ,2022-12-10T11:00:00.000Z,1.0,0,0,0,0,0.13636363636363635
1481,1601384289144164352,Horizon Forbidden West was robbed at gunpoint at  They didn t get nothing ,2022-12-10T01:12:21.000Z,1.0,0,0,0,0,0.0
1987,1601362271695179776,Horizon Forbidden West didn t win anything,2022-12-09T23:44:52.000Z,1.0,0,0,0,0,0.8
2284,1601346027537149955,I am gonna say it anyone who voted Elden Ring for has no taste in variety  Horizon Forbidden West should have gotten some acknowledgement too like come on ,2022-12-09T22:40:19.000Z,1.0,0,0,0,0,0.0
2388,1601340180144586752,is no one going to talk about horizon forbidden west didn t take a single award like really pulled out all the stops for me HFW has the best art direction and music congrats to those who won,2022-12-09T22:17:05.000Z,1.0,0,0,0,0,0.3761904761904762
2667,1601328334260113409,Horizon Forbidden West  Burning Shores DLC Wont Be Available On PS4,2022-12-09T21:30:00.000Z,1.0,9,1,26,0,0.4
2979,1601315961373880320,In no particular order  my most anticipated games announced at the Star Wars  Jedi SurvivorDiablo Suicide Squad  Kill the Justice LeagueHorizon Forbidden West  Burning Shores DLCWarhammer   Space Marine,2022-12-09T20:40:50.000Z,1.0,0,0,0,0,0.20833333333333334
3045,1601313372435546113,Horizon Forbidden West  More like Horizon Zero awards at,2022-12-09T20:30:33.000Z,1.0,0,1,1,0,0.5
3051,1601313157384966145,Horizon Forbidden West  Burning Shores DLC Wont Be Available On PS4,2022-12-09T20:29:42.000Z,1.0,4,0,12,0,0.4
4227,1601278040923045889,Street Fighter VI  TEKKEN8  Horizon Forbidden West and Sony s new Multiplayer IP has got my attention  and Xbox  Dusty Wind Blows They had nothing other than showing a Gamepass vid So pathetic ,2022-12-09T18:10:09.000Z,1.0,0,0,0,0,-0.3471590909090909
4453,1601273791338131457,I m so glad that people are finally discovering  flute guy  thanks to last night s   Last year s event was the first time I learned about him  Here he is GOING HARD during a Horizon Forbidden West performance,2022-12-09T17:53:16.000Z,1.0,0,1,0,0,0.09404761904761903
4635,1601269768539230210,Horizon Forbidden West got hella robbed last night on some categories Its such a beautiful and well made game ,2022-12-09T17:37:17.000Z,1.0,0,0,1,0,0.11249999999999999
4831,1601264541199130625,Horizon Forbidden West was the highest quality game released this year from gameplay  to animations  sound design  graphics  facial capture  storyline     literally everything for it to get completely shut out is INSANE  They put sooooo much effort into it ,2022-12-09T17:16:31.000Z,1.0,1,1,7,0,-0.11666666666666665
4900,1601262485365231616,Horizon Forbidden West Burning Shores  And not even the Hollywood sign is spared     ,2022-12-09T17:08:21.000Z,1.0,0,0,0,0,0.0
5071,1601258715084361729,I wish Horizon Forbidden West won some awards but it was just against some tough competition especially with God of War racking up the majority,2022-12-09T16:53:22.000Z,1.0,0,0,0,0,-0.19444444444444445
5157,1601257268858982401,Well deserved has been named Game of the Year at The Game Awards  beating God Of War Ragnarok  Horizon Forbidden West  and more Also won best game direction  best RPG  and best art direction ,2022-12-09T16:47:37.000Z,1.0,0,0,3,0,0.32857142857142857
5408,1601251010307313664,Hogwarts Legacy in Feb  Jedi Survivor in March and Horizon Forbidden West expansion in April  Not forgetting Forspoken  the Cyberpunk DLC  Suicide Squad and AC Mirage dotted throughout the year 2023 is shaping up nicely ,2022-12-09T16:22:45.000Z,1.0,0,0,0,0,0.6
5535,1601248048344334338,Kinda bummed A Plague Tale  Requiem and Horizon Forbidden West didnt win any awards at this year  Tough competition ,2022-12-09T16:10:59.000Z,1.0,0,0,1,0,0.20555555555555557
5653,1601245073077043201,was great last night  I m stoked for Hades   Horizon Forbidden West DLC  Diablo   Nightingale  Death Stranding   and so much more  Gaming is going to be great next year ,2022-12-09T15:59:09.000Z,1.0,0,0,0,0,0.42000000000000004
6099,1601234192679178240,Horizon Forbidden West is MY Game of the Year,2022-12-09T15:15:55.000Z,1.0,0,0,1,0,-0.4
6163,1601232807438974976,Just to put this out there for the game awards for this whole year of Horizon Forbidden West shouldve rescheduled the release date for the game,2022-12-09T15:10:25.000Z,1.0,0,0,0,0,-0.20000000000000004
6220,1601231638850985984,After sleeping on it  I kind of think Horizon Forbidden West should have won art direction instead of Elden Ring  but that s probably just my personal bias because I really like robots ,2022-12-09T15:05:46.000Z,1.0,0,0,1,0,0.26666666666666666
