,id,text,created_at,mario,retweet_count,reply_count,like_count,quote_count,polarity
893,1601438809979092992,Mario   Rabbids Sparks of Hope Wins Best Sim Strategy Game,2022-12-10T04:49:00.000Z,1.0,0,0,0,0,0.3
1272,1601399985945210880,The Super Mario Bros  Movie Mushroom Kingdom Clip Reaction    The Game Awards,2022-12-10T02:14:43.000Z,1.0,0,0,0,0,-0.033333333333333354
1377,1601390406771822593,Super Mario Bros Movie clip from the game awards  More in the link ,2022-12-10T01:36:40.000Z,1.0,0,0,1,0,0.14444444444444443
2011,1601360837289316352,Nintendo had a bigger presence at than I thought they would A Xenoblade Chronicles Music Performance  The Super Mario Bros  Movie Trailer   The announcement of Bayonetta Origins  Cereza and the Lost Demon  Nintendo won AWARDS ,2022-12-09T23:39:10.000Z,1.0,1,1,37,0,0.16666666666666666
2600,1601331600695779328,i fucking hate how sonic frontiers won to a fucking game made for and possibly by degenerate weebs  the fucking bill clinton kid is fucking hilarious  easily the best part of the game awards  loved the fucking clip to the mario bros movie holy fuck its so good,2022-12-09T21:42:59.000Z,1.0,0,1,2,0,0.01111111111111108
4309,1601276282293010434,Congrats to for Mario Rabbids  Sparks of Hope winning Best Sim   Strategy game at  ,2022-12-09T18:03:10.000Z,1.0,0,0,2,0,0.3666666666666667
4756,1601266348491149315,so this is kinda silly   is the mario movie gonna claim everyone who co streamed the game awards   I just got a claim and monization taken etc by Universal Pictures because they had the mario movie as an ad during the game award stream,2022-12-09T17:23:42.000Z,2.0,1,0,0,0,-0.325
4867,1601263381435990016,I have a handful of reaction videos taken from yesterday s stream  They cover Final Fantasy  Bayonetta Origins  Cereza and the Lost Demon  Dead Cells Return to Castlevania  Crash Team Rumble  Among Us  and The Super Mario Bros  Movie  Links are in the reply ,2022-12-09T17:11:54.000Z,1.0,1,1,1,0,0.04444444444444443
5183,1601256600228204544,Oh  we missed quite a few awards    Here s to the Best Simulation Strategy Game  Mario   Rabbids Sparks of Hope ,2022-12-09T16:44:58.000Z,1.0,1,0,3,0,0.13333333333333333
5814,1601240763509063680,I don t think we can question Nintendo s commitment to the anymore  While they didn t show   they dropped a Mario Movie teaser  announced Fire Emblem Engage DLC  and a Bayonetta prequel  They showed up HUGE  And they also walked away with w s,2022-12-09T15:42:02.000Z,1.0,12,7,107,0,0.4000000000000001
6302,1601230232249196547,Rocked Street fighter   Tekken  super Mario movie by far my favourites,2022-12-09T15:00:11.000Z,1.0,0,0,0,0,0.21666666666666667
6606,1601225050358960129,Had an idea with Mario Movie clip to edit in Charles Martinets voice  Its short but Im happy with it ,2022-12-09T14:39:35.000Z,1.0,0,0,1,0,0.4
6758,1601222666765357058,To anyone who enjoys the based upon what we have seen so far via the trailers and the minute clip from Let me ask you all this question  Is it a bit too much Mario Mentions for just one movie   I mean can it be a bit spaced out of the mentions  ,2022-12-09T14:30:07.000Z,1.0,0,0,0,0,-0.004166666666666652
6802,1601222261654323202,highlights from bill clintonbear mccreary xoxoanimalelden ring winning game of the year  haven t played it  but people say its game of the decade so probably deserved mario movie clipjedi survivor6 and a half minute speech LMFAOchaos,2022-12-09T14:28:31.000Z,1.0,0,1,0,0,-0.11666666666666667
7183,1601215274404954113,Mario   Rabbids  Sparks of Hope is  59 95   20 off  Amazon   Best SIM Strategy Game winner,2022-12-09T14:00:45.000Z,1.0,1,0,5,0,0.3
7307,1601212816744386562,  Armored Core VI  Final Fantasy XVI  Judas   Death Stranding   Jedi  Survivor   Diablo   Suicide Squad   Earthblade  Bayonetta Origins  Tekken   Horizon Burning Shores  Mario Movie   Street Fighter Best announcements has had in years,2022-12-09T13:50:59.000Z,1.0,0,0,2,0,0.5
7589,1601207117087531008,I don t see ANYONE talking about how Keegan Key confirmed all Toads from Mario wear caps or  hats  ,2022-12-09T13:28:20.000Z,1.0,0,0,1,0,0.2
8261,1601192401246162944,Holy hell some cool announcements from   Bayonetta Prequel  Hades   Death Stranding  And my hope for the Mario Movie is ever increasing,2022-12-09T12:29:51.000Z,1.0,0,0,1,0,0.35
8365,1601190206509457411,Mario Rabbids Sparks Of Hope Rayman DLC winning the Game Awards in  ,2022-12-09T12:21:08.000Z,1.0,13,2,154,0,0.04999999999999999
8623,1601184893966360576,Nintendo Wins at Best Family   Kirby and the Forgotten Land Best Multiplayer   Splatoon Best Action   Bayonetta Best Sim Strategy   Mario   Rabbids Sparks of Hope Most Anticipated   Zelda  Tears of the Kingdom,2022-12-09T12:00:01.000Z,1.0,15,3,77,0,0.7000000000000001
8660,1601184365312020480,Glad to see that Mario   Rabbids Sparks of Hope won Best Sim Strategy Game and Splatoon won Best Multiplayer Game at   The first Mario   Rabbids and the first Splatoon also won a few years ago  Its only Splatoon that didnt win anything  despite two nominations,2022-12-09T11:57:55.000Z,2.0,0,0,0,0,0.27999999999999997
