,id,text,created_at,marvel snap,retweet_count,reply_count,like_count,quote_count,polarity
688,1601456768873283584,Best Mobile Game  Marvel Snap,2022-12-10T06:00:21.000Z,1.0,0,0,0,0,0.3
914,1601436544811704320,Marvel Snap Wins Best Mobile Game,2022-12-10T04:40:00.000Z,1.0,0,0,0,0,0.3
1044,1601423223782264833,Me as the only Marvel snap player in a friend group of Genshin impact players right now ,2022-12-10T03:47:04.000Z,1.0,0,0,0,0,0.14285714285714285
1399,1601388882565550081,Marvel snap beat Genshin impact           is it crack,2022-12-10T01:30:36.000Z,1.0,0,0,0,0,0.0
2283,1601346027998453760,Elden Ring game of the year  Marvel Snap best mobile game  Payah tes maen sang     ,2022-12-09T22:40:19.000Z,1.0,0,0,0,0,0.06666666666666665
3250,1601305899867328513,Dokkan Battle    3 BILLION profit Marvel Snap    10 MILLION revenue The bottom one won mobile game of the year ,2022-12-09T20:00:52.000Z,1.0,0,0,0,0,-0.4
6311,1601230189685399554,MARVEL SNAP won Best Mobile game award at Apex Legends Mobile  Diablo Immortal  amp  Genshin Impact crying in the corner,2022-12-09T15:00:01.000Z,1.0,1,0,3,0,0.13333333333333333
9165,1601172720515178496,Marvel snap getting best mobile game over apex and genshin impactWho tf plays that shit,2022-12-09T11:11:39.000Z,1.0,0,0,1,0,0.13333333333333333
9785,1601159383521832960,Gran Turismo Sports RacingFinal Fantasy XIVCommunity SupportOngoingMarvel SnapMobileMario   Rabbids Sparks of HopeSimulation StrategyNibellionCreator of the Year3 ,2022-12-09T10:18:39.000Z,1.0,1,1,5,0,0.0
10167,1601151510221852672,Marvel Snap won the award for best mobile game at something will never win with the current design and ux,2022-12-09T09:47:22.000Z,1.0,0,0,0,0,0.04999999999999999
10420,1601147112107802626,I don t fucking know what Marvel Snap is but W The Game Awards for not picking Genshin Impact No freemogems ,2022-12-09T09:29:54.000Z,1.0,0,0,1,0,-0.5
10575,1601143537176756224,Marvel Snap winning mobile game of the year award is the first I ve ever even heard of the game  Makes me wonder how much money they threw at the committee to win ,2022-12-09T09:15:41.000Z,1.0,1,1,1,0,0.15833333333333333
12057,1601113408216387584,When U wanna play marvel snap with sisters but find that its too difficult to play,2022-12-09T07:15:58.000Z,1.0,7,2,78,0,-0.5
12058,1601113386732748801,When U wanna play marvel snap with sisters but find that its too difficult to play,2022-12-09T07:15:53.000Z,1.0,3,0,33,0,-0.5
12365,1601108699522617345,has won any awards   in last years  just curious  also i didnt knw there were  best mobile game  category  havent played marvel snap but looking at art i am sure they   deserved to win   congratulations,2022-12-09T06:57:15.000Z,1.0,0,3,6,0,0.3
13883,1601091642408116224,Hey  my fellow and Sonic fans  I think you guys and were rigged in   Marvel Snap won Mobile  amp  Genshin won Player s Voice  IMO  Genshin should have won Best Mobile and Frontiers should ve won Player s Voice  Blame TGA  amp  not each other ,2022-12-09T05:49:29.000Z,1.0,0,1,1,0,0.4375
15632,1601078299475599360,genshin lost best mobile game to fucking marvel snap lol,2022-12-09T04:56:27.000Z,1.0,0,0,2,0,0.2
16802,1601073845330677760,i lowkey wanna play marvel snap  won best mobile game it looks so fun but congrats to them,2022-12-09T04:38:45.000Z,1.0,0,1,0,0,0.3
17146,1601072929961553920,damn marvel snap won and the guy didn t even have a script lmao poor Apex mobile didn t listen to me sooner about hackers and things they needed to fix and change sooner  WE SPOKE UP BUT EA RESPAWN TAKING FOREVER TO FIX THE GAME SOONER ,2022-12-09T04:35:07.000Z,1.0,0,0,0,0,-0.0666666666666667
17206,1601072772251516928,Very quick awards summary     Best Mobile Game  Marvel Snap  Best Fighting Game  Multiversus  Best Esports Game  Valorant  Best Esports Athelte  Yay  Best Esports Team  Loud  Best Esports Coach  Bzka  Best Esports Event  LoL World Championship,2022-12-09T04:34:30.000Z,1.0,1,1,0,0,0.5487179487179487
17777,1601071499921670144,I know Im a little late but how did Genshin lose to marvel snap    ,2022-12-09T04:29:26.000Z,1.0,0,0,2,0,-0.24375
18630,1601069760073998336,Congratulations for the following winners at The Game Awards God of War Ragnarok   Best Action Adventure GameFinal Fantasy XIV   Best Ongoing Game Best Community Support  presented by discord Splatoon   Best Multiplayer Game Marvel Snap   Best Mobile Game,2022-12-09T04:22:31.000Z,1.0,0,0,0,0,0.3181818181818182
21849,1601065772700536832,And what makes it even worse the ONLY thing MARVEL related we got was MARVEL SNAP          No   No   NOTHING  Its torture at this point Seeing DS2 and Jedi  Survivor was cool I guess  But if thats it  then this whole thing was a  ,2022-12-09T04:06:41.000Z,1.0,0,0,0,0,0.029999999999999992
21938,1601065720536010752,Congratulations to Marvel Snap  Well deserved win In hindsight  it s really made for mobile gaming  portrait mode  fast gameplay with good replay value AND my irl friends play it as well ,2022-12-09T04:06:28.000Z,1.0,0,0,0,0,0.475
