,id,text,created_at,multiversus,retweet_count,reply_count,like_count,quote_count,polarity
897,1601438306419384320,MultiVersus Wins Best Fighting Game,2022-12-10T04:47:00.000Z,1.0,0,0,0,0,0.3
3089,1601311348218277888,MultiVersus won Best Fighting Game at The Game Awards last night  so I better plug my video from two and a half months ago  Congrats to the devs     ,2022-12-09T20:22:30.000Z,1.0,0,0,0,0,0.08888888888888889
3284,1601304939518885888,Who vote for MultiVersus,2022-12-09T19:57:03.000Z,1.0,0,0,0,0,0.0
4448,1601273879439110145,MultiVersus winning best fighting game of the yearTransformers Reactivate Elden Ring wins GOTYYea I d say last nights was great ,2022-12-09T17:53:37.000Z,1.0,1,3,12,0,0.3666666666666667
5139,1601257516725600257,What do you mean Kof15 lost to Multiversus  This is an outrage  ,2022-12-09T16:48:36.000Z,1.0,10,3,78,0,-0.3125
5807,1601240939754061824, MULTIVERSUS  has won Best Fighting Game at,2022-12-09T15:42:44.000Z,1.0,5,0,30,1,0.3
7797,1601202486479446017,this was a great Game Awards show this year  less bloat from ads  game releases  and much deserved awards  except Splatoon winning Multiplayer GOTY over MWII  Overwatch and MultiVersus   but overall  i give a  10 ,2022-12-09T13:09:56.000Z,1.0,0,1,0,0,0.07619047619047618
8090,1601196610717102082,Mejor Multijugador  Splatoon  Call of Duty Modern Warfare  MultiVersus Overwatch  Teenage Mutant Ninja Turtles Shredder s Revenge,2022-12-09T12:46:35.000Z,1.0,0,0,1,0,0.1
8149,1601195120841601029,Mejor Juego de Lucha  Multiversus DNF Duel JoJo s Bizzare Adventure All Star Battle R The King of Fighters XV Sifu,2022-12-09T12:40:40.000Z,1.0,0,0,3,0,0.0
8182,1601194402588037120,Honestly multiversus should ve won the most disappointing game of the year,2022-12-09T12:37:48.000Z,1.0,0,0,0,0,0.025000000000000022
9835,1601158224102973440,Does this character deserve a spot in MultiVersus in YOUR opinionI would like it to be your honest opinion so if you dont want them thats fineToday are Does he deserve a spot Also MultiVersus awarded for best fighting game  Congratulations ,2022-12-09T10:14:03.000Z,2.0,0,1,7,0,0.4000000000000001
9844,1601158000026484737,As Dusk Fallsfor ImpactMoss  Book IIVR ARThe Legend of Zelda  Tears of the KingdomAnticipatedMultiversusFightingKirby and the Forgotten Land FamilyArcane League of LegendsAdaptationGenshin ImpactPlayer Voice2 ,2022-12-09T10:13:09.000Z,1.0,0,1,3,0,0.0
11467,1601126322277081088,Dear Sonic fans When it comes to Geoffrey is a business man first  gamer second   always is and always will be  Yes  I am also disappointed Sonic Frontiers lost  BUT A REAL FIGHTING GAME LOST TO A MULTIVERSUS BETAIt was always about the views,2022-12-09T08:07:17.000Z,1.0,0,0,0,0,-0.13999999999999999
12908,1601102021129478144,Yo this is year barely had any good Multiplayer games thats crazy  All I can think of is like Multiversus and Warzone and COD is alright but has WAY too many bugs ATM ,2022-12-09T06:30:43.000Z,1.0,0,0,0,0,0.1625
13612,1601094481964474369,Thank GOD Sifu did not win Best Fighting Game of the Year  Congratulations to MultiVersus  that game deserves the W ,2022-12-09T06:00:46.000Z,1.0,0,0,0,0,-0.05000000000000002
15921,1601077097866240001,I did genuinely enjoy playing multiversus  really cant wait to see where the game goes in the future,2022-12-09T04:51:41.000Z,1.0,0,0,0,0,0.05000000000000002
16121,1601076343617515520,And welcome to the aftermath     there s no Multiversus Reveal at this year s But on the Bright side the game won a award for   Best Fighting Game   so Congratulations and you deserve it,2022-12-09T04:48:41.000Z,1.0,2,0,7,0,0.34
16400,1601075360321241088,Even though Raven or any character was announced at   we still got stuff like Mario Movie  street figher  and even an Multiversus award  Im not giving up my hopes yet  We should hopefully get some character reveal soon ,2022-12-09T04:44:47.000Z,1.0,0,0,0,0,0.0
17206,1601072772251516928,Very quick awards summary     Best Mobile Game  Marvel Snap  Best Fighting Game  Multiversus  Best Esports Game  Valorant  Best Esports Athelte  Yay  Best Esports Team  Loud  Best Esports Coach  Bzka  Best Esports Event  LoL World Championship,2022-12-09T04:34:30.000Z,1.0,1,1,0,0,0.5487179487179487
18398,1601070215999418369,Even if sonic and God of war got shafted  At least multiversus won ,2022-12-09T04:24:20.000Z,1.0,0,0,0,0,-0.3
22146,1601065574293200897,Multiversus had no announcement  shut down rumors before your fans get more disappointed  Was excited and watched for mainly a hype reveal but there was nothing  Ouch ,2022-12-09T04:05:53.000Z,1.0,0,0,1,0,0.02722222222222222
22278,1601065495280504832,MultiVersus fans after PapaGenos hyped up a reveal at,2022-12-09T04:05:35.000Z,1.0,13,1,84,0,0.0
22305,1601065481355800576,And that was for   It was alright  some cool reveals and neat little moments  No Multiversus stuff which isn t too surprising if I m honest ,2022-12-09T04:05:31.000Z,1.0,0,0,0,0,0.365625
23046,1601065040031133696,Great show  Its disappointing we didnt get Spider Man news  Im happy MultiVersus and God of War  Ragnark won some awards  though ,2022-12-09T04:03:46.000Z,1.0,0,0,4,0,0.3333333333333333
25705,1601063942859952128,As quedaron los ganadores en  GoW  Ragnarok  6 Elden Ring  4 Stray  2 FF XIV  2 Kirby and the Forgotten Land  1  Multiversus  1 Moss  Book II  1 Mario Rabbids Sparks of Hope  1 As Dusk Falls  1 GT  1 Splatoon  1 Bayonetta  1 Genshin Impact  1 ,2022-12-09T03:59:24.000Z,1.0,0,0,4,0,0.0
26347,1601063691750735873,The Game Awards this year was actually pretty good  Lots of epic reveals and some major surprises  It was all very fun and spending it with my fellow gamers was amazing Also I am VERY happy MultiVersus won Fighting Game,2022-12-09T03:58:25.000Z,1.0,0,0,0,0,0.25583333333333336
